,Longitude,Latitude,Crime type
,-2.362535,51.381309,Shoplifting
,-2.361069,51.38491,Mugging
,-2.358703,51.387399,Sex Offence
,-2.360269,51.385443,Sex Offence
,-2.359959,51.384473,Sex Offence
,-2.361416,51.381448,Sex Offence
,-2.362002,51.382947,Sex Offence
,-2.360777,51.386098,Sex Offence
,-2.36032,51.379185,Sex Offence
,-2.361069,51.38491,Sex Offence
,-2.360554,51.383392,Sex Offence
,-2.359175,51.383451,Sex Offence
,-2.357017,51.383089,Sex Offence
,-2.361069,51.38491,Sex Offence
,-2.357557,51.382341,Sex Offence
,-2.3623,51.380654,Sex Offence
,-2.361034,51.384047,Sex Offence
,-2.360554,51.383392,Sex Offence
,-2.358051,51.377529,ABSO
,-2.357056,51.378871,ABSO
,-2.357255,51.378637,ABSO
,-2.357255,51.378637,ABSO
,-2.357056,51.378871,ABSO
,-2.357056,51.378871,ABSO
,-2.357056,51.378871,ABSO
,-2.357056,51.378871,ABSO
,-2.357255,51.378637,ABSO
,-2.360022,51.377837,ABSO
,-2.354904,51.38483,ABSO
,-2.354904,51.38483,ABSO
,-2.357056,51.378871,ABSO
,-2.353954,51.384581,ABSO
,-2.357056,51.378871,ABSO
,-2.357056,51.378871,ABSO
,-2.356911,51.380553,ABSO
,-2.357255,51.378637,ABSO
,-2.357056,51.378871,ABSO
,-2.357255,51.378637,ABSO
,-2.357056,51.378871,ABSO
,-2.357056,51.378871,ABSO
,-2.357255,51.378637,ABSO
,-2.357255,51.378637,ABSO
,-2.357664,51.38502,ABSO
,-2.357255,51.378637,ABSO
,-2.358249,51.378904,ABSO
,-2.359207,51.37837,ABSO
,-2.357255,51.378637,ABSO
,-2.358051,51.377529,ABSO
,-2.355926,51.383272,ABSO
,-2.357255,51.378637,ABSO
,-2.357255,51.378637,ABSO
,-2.357255,51.378637,ABSO
,-2.357255,51.378637,ABSO
,-2.357056,51.378871,ABSO
,-2.356174,51.379962,ABSO
,-2.357442,51.38039,ABSO
,-2.356174,51.379962,ABSO
,-2.353954,51.384581,ABSO
,-2.357255,51.378637,ABSO
,-2.356724,51.384222,ABSO
,-2.357255,51.378637,ABSO
,-2.357255,51.378637,ABSO
,-2.358051,51.377529,ABSO
,-2.357056,51.378871,ABSO
,-2.358051,51.377529,ABSO
,-2.357056,51.378871,ABSO
,-2.356174,51.379962,ABSO
,-2.358051,51.377529,ABSO
,-2.357255,51.378637,ABSO
,-2.357255,51.378637,ABSO
,-2.357056,51.378871,ABSO
,-2.357255,51.378637,ABSO
,-2.351735,51.385748,ABSO
,-2.351735,51.385748,ABSO
,-2.356174,51.379962,Burglary
,-2.356724,51.384222,Burglary
,-2.35188,51.384048,Burglary
,-2.360022,51.377837,Arson
,-2.352659,51.384442,Arson
,-2.357255,51.378637,Arson
,-2.358051,51.377529,Drugs
,-2.351609,51.38618,Other theft
,-2.357056,51.378871,Other theft
,-2.357056,51.378871,Other theft
,-2.351609,51.38618,Other theft
,-2.357056,51.378871,Other theft
,-2.357056,51.378871,Other theft
,-2.358051,51.377529,Public order
,-2.358051,51.377529,Public order
,-2.357056,51.378871,Public order
,-2.360022,51.377837,Public order
,-2.359207,51.37837,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.358249,51.378904,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.35811,51.379542,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.35811,51.379542,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.35811,51.379542,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.359207,51.37837,Shoplifting
,-2.352761,51.386464,Shoplifting
,-2.357056,51.378871,Sex Offence
,-2.358051,51.377529,Sex Offence
,-2.357056,51.378871,Sex Offence
,-2.358051,51.377529,Sex Offence
,-2.357056,51.378871,Sex Offence
,-2.358051,51.377529,Sex Offence
,-2.357056,51.378871,Sex Offence
,-2.357056,51.378871,Sex Offence
,-2.352761,51.386464,Sex Offence
,-2.362041,51.385977,ABSO
,-2.359977,51.386766,ABSO
,-2.362118,51.384862,ABSO
,-2.359977,51.386766,ABSO
,-2.361999,51.386202,ABSO
,-2.356768,51.389905,ABSO
,-2.364555,51.385979,ABSO
,-2.360173,51.387943,ABSO
,-2.363129,51.383645,ABSO
,-2.36077,51.38528,ABSO
,-2.359977,51.386766,ABSO
,-2.365635,51.386227,ABSO
,-2.365635,51.386227,ABSO
,-2.356742,51.390175,ABSO
,-2.362118,51.384862,Bike theft
,-2.363451,51.38448,Arson
,-2.361999,51.386202,Arson
,-2.36077,51.38528,Other theft
,-2.362118,51.384862,Other theft
,-2.362118,51.384862,Weapons 
,-2.361999,51.386202,Public order
,-2.363451,51.38448,Robbery
,-2.364858,51.38792,Shoplifting
,-2.362118,51.384862,Sex Offence
,-2.361999,51.386202,Sex Offence
,-2.362118,51.384862,Sex Offence
,-2.361999,51.386202,Sex Offence
,-2.362118,51.384862,Sex Offence
,-2.356768,51.389905,Sex Offence
,-2.361999,51.386202,Sex Offence
,-2.356768,51.389905,Sex Offence
,-2.360073,51.397169,Sex Offence
,-2.373185,51.402721,ABSO
,-2.372616,51.392931,Arson
,-2.365314,51.389249,ABSO
,-2.365314,51.389249,ABSO
,-2.364015,51.388525,ABSO
,-2.364015,51.388525,ABSO
,-2.363492,51.387744,ABSO
,-2.363492,51.387744,ABSO
,-2.36285,51.388349,Drugs
,-2.363492,51.387744,Sex Offence
,-2.363492,51.387744,Sex Offence
,-2.389751,51.383083,ABSO
,-2.388791,51.385145,ABSO
,-2.389751,51.383083,ABSO
,-2.391651,51.38349,ABSO
,-2.388791,51.385145,Burglary
,-2.389722,51.391517,ABSO
,-2.389722,51.391517,ABSO
,-2.391231,51.386477,ABSO
,-2.389722,51.391517,Burglary
,-2.389722,51.391517,Other theft
,-2.389722,51.391517,Other theft
,-2.393792,51.383456,ABSO
,-2.394985,51.383569,ABSO
,-2.401541,51.385498,Burglary
,-2.400205,51.385548,Arson
,-2.402534,51.385728,Other theft
,-2.402534,51.385728,Other theft
,-2.398252,51.384062,Sex Offence
,-2.398252,51.384062,Sex Offence
,-2.397072,51.395539,ABSO
,-2.395606,51.39549,ABSO
,-2.394643,51.393875,ABSO
,-2.402079,51.387888,Arson
